Attacker,Target,Target_Class,Body_Hits_To_Kill,Head_Hits_To_Kill,Charged_Body_Hits_To_Kill,Charged_Head_Hits_To_Kill
Triceratops,Tyrannosaurus,Carnivore HTD,12.0,,,
Triceratops,Diabloceratops,Herbivore HTD,35.0,,,
Triceratops,Dryosaurus,Herbivore HTD,475.0,,,
Triceratops,Hypsilophodon,Herbivore HTD,4750.0,,,
Triceratops,Pachycephalosaurus,Herbivore HTD,76.0,,(ram),
Triceratops,Maisasaura,Herbivore HTD,28.0,,(stomp),
Diabloceratops,Carnotaurus,Carnivore HTD,18.0,,,
Diabloceratops,Ceratosaurus,Carnivore HTD,20.0,,,
Diabloceratops,Dilophosaurus,Carnivore HTD,36.0,,,
Diabloceratops,Herrerasaurus,Carnivore HTD,17.0,,,
Diabloceratops,Omniraptor,Carnivore HTD,40.0,,,
Diabloceratops,Deinosuchus,Carnivore HTD,6.0,,,
Diabloceratops,Pteranodon,Carnivore HTD,150.0,,,
Diabloceratops,Troodon,Carnivore HTD,86.0,,,(pounce)
Diabloceratops,Diabloceratops,Herbivore,11.0,,,
Diabloceratops,Dryosaurus,Herbivore,1.0,1.0,,
Diabloceratops,Pachycephalosaurus,Herbivore,2.0,2.0,,
Diabloceratops,Stegosaurus,Herbivore,13.0,11.0,,
Diabloceratops,Tenontosaurus,Herbivore,6.0,4.0,,
Diabloceratops,Hypsilophodon,Herbivore,1.0,1.0,,
Diabloceratops,Gallimimus,Omnivore,2.0,2.0,,
Diabloceratops,Beipiaosaurus,Omnivore,1.0,1.0,,
Triceratops,Stegosaurus,Herbivore HTD,8.0,,7,
Triceratops,Tenontosaurus,Herbivore HTD,38.0,,(kick),
Triceratops,Triceratops,Herbivore HTD,16.0,,,
Triceratops,Gallimimus,Omnivore HTD,136.0,,(kick),
Pteranodon,Dryosaurus,Herbivore,7.0,5.0,,
Pteranodon,Pachycephalosaurus,Herbivore,25.0,25.0,,
Pteranodon,Stegosaurus,Herbivore,300.0,150.0,,
Pteranodon,Tenontosaurus,Herbivore,80.0,54.0,,
Pteranodon,Hypsilophodon,Herbivore,1.0,1.0,,
Pteranodon,Gallimimus,Omnivore,22.0,15.0,,
Dryosaurus,Pteranodon,Carnivore HTD,1.0,1.0,,
Pachycephalosaurus (ram),Pteranodon,Carnivore HTD,1.0,1.0,,
Tenontosaurus (kick),Pteranodon,Carnivore HTD,1.0,1.0,,
Gallimimus (kick),Pteranodon,Carnivore HTD,1.0,1.0,,
Troodon,Dryosaurus,Herbivore,4.0,,1,
Troodon,Pachycephalosaurus,Herbivore,15.0,,6,
Troodon,Stegosaurus,Herbivore,172.0,,79,
Troodon,Tenontosaurus,Herbivore,46.0,,20,
Troodon,Hypsilophodon,Herbivore,1.0,,,Dead before envenomation
Troodon,Gallimimus,Omnivore,13.0,,4,
Troodon,Beipiaosaurus,Omnivore,,,,Dead before envenomation
Dryosaurus,Troodon,Herbivore HTD,6.0,4.0,,
Tyrannosaurus,Diabloceratops,Herbivore,5.0,,,
Tyrannosaurus,Dryosaurus,Herbivore,1.0,1.0,,
Tyrannosaurus,Hypsilophodon,Herbivore,1.0,1.0,,
Tyrannosaurus,Maiasaura,Herbivore,6.0,4.0,,
Tyrannosaurus,Pachycephalosaurus,Herbivore,1.0,2.0,,
Tyrannosaurus,Stegosaurus,Herbivore,9.0,5.0,,
Tyrannosaurus,Tenontosaurus,Herbivore,3.0,2.0,,
Tyrannosaurus,Triceratops,Herbivore,14.0,,,
Tyrannosaurus,Gallimimus,Omnivore,1.0,1.0,,
Tyrannosaurus,Allosaurus,Carnivore,4.0,3.0,,
Tyrannosaurus,Carnotaurus,Carnivore,2.0,2.0,,
Tyrannosaurus,Ceratosaurus,Carnivore,3.0,2.0,,
Tyrannosaurus,Deinosuchus,Carnivore,12.0,8.0,,
Tyrannosaurus,Dilophosaurus,Carnivore,1.0,1.0,,
Tyrannosaurus,Herrerasaurus,Carnivore,1.0,1.0,,
Tyrannosaurus,Omniraptor,Carnivore,1.0,1.0,,
Tyrannosaurus,Pteranodon,Carnivore,1.0,1.0,,
Tyrannosaurus,Troodon,Carnivore,1.0,1.0,,
Tyrannosaurus,Tyrannosaurus,Carnivore,14.0,9.0,,
Allosaurus,Tyrannosaurus,Carnivore HTD,54.0,36.0,,
Ceratosaurus,Tyrannosaurus,Carnivore HTD,63.0,42.0,,
Deinosuchus,Tyrannosaurus,Carnivore HTD,19.0,13.0,,
Pteranodon,Tyrannosaurus,Carnivore HTD,468.0,312.0,,
Troodon,Tyrannosaurus,Carnivore HTD,94.0,,,
Tyrannosaurus,Tyrannosaurus,Carnivore HTD,14.0,9.0,,
Tyrannosaurus,Omniraptor,Carnivore HTD,1.0,1.0,,
Tyrannosaurus,Carnotaurus,Carnivore HTD,1.0,1.0,,
Tyrannosaurus,Herrerasaurus,Carnivore HTD,1.0,1.0,,
Tyrannosaurus,Tenontosaurus,Carnivore HTD,1.0,1.0,,
Tyrannosaurus,Beipiaosaurus,Carnivore HTD,1.0,1.0,,
Tyrannosaurus,Maiasaura,Carnivore HTD,1.0,1.0,,
Tyrannosaurus,Dilophosaurus,Carnivore HTD,1.0,1.0,,
Tyrannosaurus,Hypsilophodon,Carnivore HTD,1.0,1.0,,
Tyrannosaurus,Stegosaurus,Carnivore HTD,1.0,1.0,,
Tyrannosaurus,Pachycephalosaurus,Carnivore HTD,1.0,1.0,,
Tyrannosaurus,Gallimimus,Carnivore HTD,1.0,1.0,,
Omniraptor,Generic Prey,Herbivore,5.0,3.0,,
Tyrannosaurus,Omniraptor,Carnivore HTD,1.0,1.0,,
Carnotaurus,Generic Prey,Herbivore,5.0,3.0,,
Tyrannosaurus,Carnotaurus,Carnivore HTD,1.0,1.0,,
Herrerasaurus,Generic Prey,Herbivore,5.0,3.0,,
Tyrannosaurus,Herrerasaurus,Carnivore HTD,1.0,1.0,,
Tenontosaurus,Generic Prey,Herbivore,5.0,3.0,,
Tyrannosaurus,Tenontosaurus,Carnivore HTD,1.0,1.0,,
Beipiaosaurus,Generic Prey,Herbivore,5.0,3.0,,
Tyrannosaurus,Beipiaosaurus,Carnivore HTD,1.0,1.0,,
Maiasaura,Generic Prey,Herbivore,5.0,3.0,,
Tyrannosaurus,Maiasaura,Carnivore HTD,1.0,1.0,,
Dilophosaurus,Generic Prey,Herbivore,5.0,3.0,,
Tyrannosaurus,Dilophosaurus,Carnivore HTD,1.0,1.0,,
Hypsilophodon,Generic Prey,Herbivore,5.0,3.0,,
Tyrannosaurus,Hypsilophodon,Carnivore HTD,1.0,1.0,,
Stegosaurus,Generic Prey,Herbivore,5.0,3.0,,
Tyrannosaurus,Stegosaurus,Carnivore HTD,1.0,1.0,,
Pachycephalosaurus,Generic Prey,Herbivore,5.0,3.0,,
Tyrannosaurus,Pachycephalosaurus,Carnivore HTD,1.0,1.0,,
Gallimimus,Generic Prey,Herbivore,5.0,3.0,,
Tyrannosaurus,Gallimimus,Carnivore HTD,1.0,1.0,,
